PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,MUNICODE,MUNIDESC,SCHOOLCODE,SCHOOLDESC,LEGAL1,LEGAL2,LEGAL3,NEIGHCODE,NEIGHDESC,TAXCODE,TAXDESC,TAXSUBCODE,TAXSUBCODE_DESC,OWNERCODE,OWNERDESC,CLASS,CLASSDESC,USECODE,USEDESC,LOTAREA,HOMESTEADFLAG,FARMSTEADFLAG,CLEANGREEN,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALECODE,SALEDESC,DEEDBOOK,DEEDPAGE,PREVSALEDATE,PREVSALEPRICE,PREVSALEDATE2,PREVSALEPRICE2,CHANGENOTICEADDRESS1,CHANGENOTICEADDRESS2,CHANGENOTICEADDRESS3,CHANGENOTICEADDRESS4,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLE,STYLEDESC,STORIES,YEARBLT,EXTERIORFINISH,EXTFINISH_DESC,ROOF,ROOFDESC,BASEMENT,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLING,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE,FINISHEDLIVINGAREA,CARDNUMBER,ALT_ID,TAXYEAR,ASOFDATE
0028B00088000000,3604, ,5TH AVE,PITTSBURGH,PA, ,15213.0,104,4th Ward - PITTSBURGH,47,Pittsburgh,CHARLES MEYRAN PLAN 8 LOT 22X127,,,51C11,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,404,RETL/APT'S OVER,5588,,,,,,08-08-1973,0.0,3,LOVE&AFFECTION,4666,459.0,,,,,3535   BLVD OF THE ALLIES    ,  ,PITTSBURGH PA  ,15213.0,78100,194900,273000,0,78100,194900,273000,78100,194900,273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0028B00091000000,3610, -3612,5TH AVE,PITTSBURGH,PA, ,15213.0,104,4th Ward - PITTSBURGH,47,Pittsburgh,MEYRAN PLAN 5 LOT 43.86X127X43.4 FIFTH AVE     ,2 1/2 & 3 STY BRK BLDG #3610-#3612             ,,51C11,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,5589,,,,,11-05-2014,10-30-2014,1.0,3,LOVE&AFFECTION,15789,83.0,06-09-2014,725000.0,,,12   COUNTRY FARM LK   ,  ,HARRISON CITY PA  ,15636.0,541800,269100,810900,0,541800,269100,810900,541800,269100,810900,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0002F00175041100,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243 ,A LD) FIFTH AVE                                ,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR  ,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,04-13-2017,03-26-2017,30000.0,3,LOVE&AFFECTION,16760,257.0,02-03-2016,80000.0,01-30-1998,28000.0,222   OAK GROVE RD   ,  ,BRADFORDWOODS PA  ,15015.0,69900,0,69900,0,69900,0,69900,69900,0,69900,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,528.0,1.0,,2022,01-NOV-22
0002F00175041200,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243 ,ALD) FIFTH AVE                                 ,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR  ,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,04-13-2017,03-26-2017,30000.0,14,TIME ON MARKET,16760,252.0,03-29-2016,82250.0,03-05-1984,52500.0,222   OAK GROVE RD   ,  ,BRADFORDWOODS PA  ,15015.0,71700,0,71700,0,71700,0,71700,71700,0,71700,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,549.0,1.0,,2022,01-NOV-22
0028G00182000A00,3616, ,LOUISA ST,PITTSBURGH,PA, ,15213.0,104,4th Ward - PITTSBURGH,47,Pittsburgh,CHARLES MEYRANS PLAN PTS 55-56 LOT 29.60X33 IN,ALL YORK WY,2 STY BRK APT-BAR #3616,51C14,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,404,RETL/APT'S OVER,976,,,,,01-20-2005,01-20-2005,90000.0,0,VALID SALE,12325,467.0,12-07-1985,85000.0,,,3616   LOUISA ST   ,  ,PITTSBURGH PA  ,15213.0,58000,74700,132700,0,58000,74700,132700,58000,74700,132700,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0028G00183000000,260, ,ATWOOD ST,PITTSBURGH,PA, ,15213.0,104,4th Ward - PITTSBURGH,47,Pittsburgh,CHARLES MEYRAN PLAN 52 LOT 22X100 ATWOOD ST,2 STY C B BLDG #260,,51C14,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,405,RETL/OFF OVER,2200,,,,,12-05-2012,12-05-2012,1.0,H,MULTI-PARCEL SA,15087,188.0,04-10-2000,212500.0,08-08-1980,38870.0,3535   BLVD OF THE ALLIES    ,  ,PITTSBURGH PA  ,15213.0,158300,90000,248300,0,158300,90000,248300,158300,90000,248300,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0028P00353000000,301, ,CRAFT AVE,PITTSBURGH,PA, ,15213.0,104,4th Ward - PITTSBURGH,47,Pittsburgh,TRI LOT 126.47X118.39X150.72 RR BLVD OF ALLIES,COR CRAFT,1 STY SERVICE STATION,51C14,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,492,CONVENIENCE STORE/GAS,7261,,,,,08-24-2005,08-24-2005,240000.0,0,VALID SALE,12565,376.0,12-29-2004,240000.0,06-04-1986,10.0,2655   PHILMONT AVE   ,  ,HUNTINGDON VALLEY PA  ,19006.0,312600,102400,415000,0,312600,102400,415000,312600,102400,415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0028L00316000000,3459, ,WARD ST,PITTSBURGH,PA, ,15213.0,104,4th Ward - PITTSBURGH,47,Pittsburgh,J H SAWYER PLAN PTS 14-15 LOT 36.18XAVG38.98X61,.70 RR IN ALL WARD ST                          ,2 STY BRK DWLG-STO 3459                        ,51C18,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,1818,,,,,10-18-2018,10-15-2018,3390000.0,H,MULTI-PARCEL SA,17398,72.0,07-07-1980,1.0,,,117   BAKER DR   ,  ,CLAIRTON PA  ,15025.0,73000,110000,183000,0,73000,110000,183000,73000,110000,183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0010C00022000000,2520, ,BEDFORD AVE,PITTSBURGH,PA, ,15219.0,105,5th Ward - PITTSBURGH,47,Pittsburgh,LOT 16.97XAVG56.84 BEDFORD AVE                 ,2 STY BRK HSE 2520                             ,,51C18B,PITTSBURGH URBAN,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,C,COMMERCIAL,404,RETL/APT'S OVER,965,,,,,,09-30-2002,1.0,3,LOVE&AFFECTION,11467,592.0,03-13-2002,1.0,03-04-1983,1.0,1801   CENTRE AVE   ,  ,PITTSBURGH PA  ,15219.0,50200,23900,74100,0,50200,23900,74100,50200,23900,74100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0010F00015000100,2316, ,WEBSTER AVE,PITTSBURGH,PA, ,15219.0,105,5th Ward - PITTSBURGH,47,Pittsburgh,WM. B. HAYS PLAN PTS 29 & 30 LOT 41.22XAVG     ,39.665X40.98 WEBSTER AVE COR SOMERS ST         ,2 STY BRK-STORE & APT #2316                    ,51C18B,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,404,RETL/APT'S OVER,1634,,,,,,01-11-1996,1.0,3,LOVE&AFFECTION,9616,272.0,,,,,2309   WEBSTER AVE   ,  ,PITTSBURGH      PA  ,15219.0,27400,2600,30000,0,27400,2600,30000,27400,2600,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0027D00113000000,4521, ,CENTRE AVE,PITTSBURGH,PA, ,15213.0,105,5th Ward - PITTSBURGH,47,Pittsburgh,LOT 34.83X66.02 CENTER AVE BET CRAIG & DALLAS  ,2 STY BRK HSE-STO RM #4521                     ,,51C14B,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,2299,,,,,05-20-2010,05-20-2010,375000.0,VH,OTHER,14264,559.0,03-01-2010,0.0,11-01-1999,40000.0,413   MCKEE PL   ,  ,PITTSBURGH PA  ,15213.0,115000,58400,173400,0,115000,58400,173400,115000,58400,173400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0025D00228000000,3349, ,LIBERTY AVE,PITTSBURGH,PA, ,15201.0,106,6th Ward - PITTSBURGH,47,Pittsburgh,LOT = 197.57 X 114.40 X 160.84,,,51C34,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,491,CONVENIENCE STORE,8658,,,,,09-03-2015,08-14-2015,415000.0,14,TIME ON MARKET,16111,228.0,06-30-1983,90000.0,,,104   ABBEY CT   ,  ,VENETIA PA  ,15367.0,102900,184400,287300,0,102900,184400,287300,102900,184400,287300,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0010S00101000000,504, ,OAK HILL DR,PITTSBURGH,PA, ,15213.0,105,5th Ward - PITTSBURGH,47,Pittsburgh,ALLEQUIPPA TERRACE - OAK HILL COMMONS RESUBDIVISION PLAN,PARCEL 1-R = 65.39 FRONTING WITH 19 TOTAL BEARINGS,,51C19,PITTSBURGH URBAN,E,10 - Exempt,,,20,CORPORATION,C,COMMERCIAL,400,VACANT COMMERCIAL LAND,66351,,,,,,,,,,,,,,,,200   ROSS ST  FL 9,  ,PITTSBURGH PA  ,15219.0,0,501700,501700,0,0,501700,501700,0,501700,501700,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0049E00087000000,3817, ,BUTLER ST,PITTSBURGH,PA, ,15201.0,106,6th Ward - PITTSBURGH,47,Pittsburgh,WM B FOSTER PL 93-94-95 LOT 113.25X108.45X107.8,9 RR IN ALL BUTLER ST COR 39TH ST              ,1 STY CB & BRK BLDG                            ,51C31A,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,492,CONVENIENCE STORE/GAS,12204,,,,,02-22-2019,01-29-2019,1.0,3,LOVE&AFFECTION,17526,588.0,01-29-2019,1.0,01-29-2019,1.0,4100  E OCEAN BLVD   ,  ,LONG BEACH CA  ,90803.0,105300,149200,254500,0,105300,149200,254500,105300,149200,254500,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084J00082000000,5724, -5726,ELLSWORTH AVE,PITTSBURGH,PA, ,15232.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,LOT 90X95.86X38.92 RR ELLSWORTH AVE,TRI LOT 71X69.15X14.61 SUMMERLEA ST,1 STY BRK BLDG,51C24,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,491,CONVENIENCE STORE,9057,,,,,06-27-2006,06-27-2006,0.0,3,LOVE&AFFECTION,12895,304.0,01-31-2006,2247838.0,07-28-1998,150000.0,450  S ORANGE AVE  STE 900,  ,ORLANDO FL  ,32801.0,172300,213800,386100,0,172300,213800,386100,172300,213800,386100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0051M00130000000,5550, ,CENTRE AVE,PITTSBURGH,PA, ,15232.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,SOUTH NEGLEY COMMONS CONDOMINIUM,PARCEL A = 157.25 FRONTING WITH 25 TOTAL BEARINGS,,51C24,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,550,CONDOMINIUM UNIT,167231,,,,,09-29-2005,09-29-2005,10000.0,25,OTHER,12607,33.0,04-30-1999,3179850.0,07-29-1983,410000.0,701   ALPHA DR   ,  ,PITTSBURGH PA  ,15238.0,8895800,3092600,11988400,0,8895800,3092600,11988400,8895800,3092600,11988400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084G00224000000,6320, ,SHAKESPEARE ST,PITTSBURGH,PA, ,15206.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,TRI LOT 112X100X142.44 RR SHAKESPEARE ST,,,51C21,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,499,COMM AUX BUILDING,12727,,,,,,06-11-1984,120000.0,H,MULTI-PARCEL SA,6887,165.0,,,,,560   EPSILON DR   ,  ,PITTSBURGH PA  ,15238.0,15400,63600,79000,0,15400,63600,79000,15400,63600,79000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084G00225000000,6320, ,SHAKESPEARE ST,PITTSBURGH,PA, ,15206.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,E H MYERS PLAN 9-10 LOT 44X100 IN ALL SHADY AVE,BET SHAKESPEARE & AURELIA                      ,,51C21,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,499,COMM AUX BUILDING,4400,,,,,,06-27-1985,43000.0,0,VALID SALE,7104,543.0,,,,,560   EPSILON DR   ,  ,PITTSBURGH PA  ,15238.0,4100,22000,26100,0,4100,22000,26100,4100,22000,26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084G00227000000,6320, ,SHAKESPEARE ST,PITTSBURGH,PA, ,15206.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,B H LANDWEHE PLAN 11-12 LOT 44X100 N ALL SHADY ,AV                                             ,,51C21,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,456,PARKING GARAGE/LOTS,4400,,,,,,06-27-1985,43000.0,0,VALID SALE,7104,535.0,,,,,560   EPSILON DR   ,  ,PITTSBURGH PA  ,15238.0,0,22000,22000,0,0,22000,22000,0,22000,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084G00229000000,6320, ,SHAKESPEARE ST,PITTSBURGH,PA, ,15206.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,PLAN 13 PT 14 LOT 36X100 IN ALL SHADY AVE      ,,,51C21,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,499,COMM AUX BUILDING,3600,,,,,,07-17-1989,200000.0,H,MULTI-PARCEL SA,8057,124.0,,,,,560   EPSILON DR   ,  ,PITTSBURGH PA  ,15238.0,3400,18000,21400,0,3400,18000,21400,3400,18000,21400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084G00231000000,6320, ,SHAKESPEARE ST,PITTSBURGH,PA, ,15206.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,E H MEYERS PLAN 15 PTS 14-16 LOT 36.72X100 IN A,LL SHADY AVE BET AURELIA & SHAKESPEARE STS     ,,51C21,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,499,COMM AUX BUILDING,3672,,,,,,11-14-1988,171000.0,H,MULTI-PARCEL SA,7908,391.0,,,,,560   EPSILON DR   ,  ,PITTSBURGH PA  ,15238.0,4300,18400,22700,0,4300,18400,22700,4300,18400,22700,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084G00258000000,6320, ,SHAKESPEARE ST,PITTSBURGH,PA, ,15206.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,SHAKESPEAR STREET ASSOC PLAN 1 IRREG LOT 320.41,X574.88X150.44 PENN AVE COR SHADY AVE (OR 3.738,SHAKESPEAR STREET ASSOC PLAN 2 LOT 44.05X100.12,51C21,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,425,NEIGH SHOP CENTER,162827,,,,,,07-12-1977,575000.0,9,OTHER INVALID,,,,,,,560   EPSILON DR   ,  ,PITTSBURGH PA  ,15238.0,6000000,1600000,7600000,0,6000000,1600000,7600000,6000000,1600000,7600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084G00347000000,6320, ,SHAKESPEARE ST,PITTSBURGH,PA, ,15206.0,107,7th Ward - PITTSBURGH,47,Pittsburgh,PT ALEX THOMPSON PLAN TRI LOT 105X913.75X235   ,SHAKESPEARE ST                                 ,,51C21,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,499,COMM AUX BUILDING,15150,,,,,,06-11-1984,120000.0,H,MULTI-PARCEL SA,6887,65.0,,,,,701   ALPHA DR   ,  ,PITTSBURGH PA  ,15238.0,17800,75800,93600,0,17800,75800,93600,17800,75800,93600,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0051E00171000000,630, ,S MILLVALE AVE,PITTSBURGH,PA, ,15224.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,REBECCA BAUM PLAN PTS 173- 174 & 175 LOT SLANT ,FRONT 62.48XAVG34.35 IN ALL SO MILLVALE COR YEW,2 STY BRK HSE-STORE 630                        ,51C38,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,2146,,,,,,03-10-1995,70000.0,8,OTHER,9416,52.0,,,,,4781   WALLINGFORD ST   ,  ,PITTSBURGH PA  ,15213.0,70000,30000,100000,0,70000,30000,100000,70000,30000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0050K00378000000,4900, ,PENN AVE,PITTSBURGH,PA, ,15224.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,PLAN 1-2-3-4-5 IRREG LOT 135.75X110.04X 127.35 ,RR IN ALL PENN AVE                             ,1 STY BRK SERV STATION & STORE #4900 PENN      ,51C32,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,420,SMALL DETACHED RET(UNDER 10000),14500,,,,,04-30-2020,04-25-2020,1.0,3,LOVE&AFFECTION,18002,181.0,07-02-1999,175000.0,08-12-1983,75000.0,128   CALMONT DR   ,  ,PITTSBURGH PA  ,15235.0,132500,85600,218100,0,132500,85600,218100,132500,85600,218100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084B00210000000,120, ,WHITFIELD ST,PITTSBURGH,PA, ,15206.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,LOT 90X131.07 WHITFIELD ST N W COR MIGNONETTE S,T                                              ,5 STY BRK & STN BLDG                           ,51C28,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,411,HOTELS,11790,,,,,06-02-2014,06-02-2014,800000.0,36,QUIT CLAIM,15617,26.0,12-06-2007,686000.0,04-05-1984,150000.0,6015   STEVENSON PL   ,  ,PITTSBURGH PA  ,15206.0,4426700,223300,4650000,0,4426700,223300,4650000,4426700,223300,4650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0083N00263000000,5482, ,PENN AVE,PITTSBURGH,PA, ,15206.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,LOT 25X71.63X26.98 FAIRMONT ST                 ,(GATEWAY)                                      ,,51C32,PITTSBURGH URBAN,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,C,COMMERCIAL,404,RETL/APT'S OVER,2638,,,,,,06-30-1993,42000.0,9,OTHER INVALID,8997,490.0,,,,,5001   PENN AVE   ,  ,PITTSBURGH PA  ,15224.0,99500,30600,130100,0,99500,30600,130100,99500,30600,130100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0051P00009000000,4924, ,BAUM BLVD,PITTSBURGH,PA, ,15213.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,GUTTMAN REALTY CO & MOREWOOD CENTRE PARTNERSHIP PLAN,LOT 2 = 230.43 X 140.23 X 176.27 X 8.29 X 92.10 X 126.71,,51C33,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,492,CONVENIENCE STORE/GAS,32905,,,,,11-21-2008,11-21-2008,1.0,9,OTHER INVALID,13796,111.0,06-11-1984,10.0,,,101   KAPPA DR   ,  ,PITTSBURGH PA  ,15238.0,1030000,570000,1600000,0,1030000,570000,1600000,1030000,570000,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0083N00242000000,5514, ,PENN AVE,PITTSBURGH,PA, ,15206.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,LOT 80.64X50X81.87 RR PENN AV COR STRATFORD    ,1 STY C B & BRK BLDG #5514                     ,,51C31,PITTSBURGH URBAN,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,C,COMMERCIAL,480,OFFICE/WAREHOUSE,4063,,,,,06-01-2021,05-27-2021,1.0,H,MULTI-PARCEL SA,18456,252.0,11-28-1983,50000.0,,,5514   PENN AVE   ,  ,PITTSBURGH PA  ,15206.0,36000,40800,76800,0,36000,40800,76800,36000,40800,76800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084E00036000000,5735, ,BAUM BLVD,PITTSBURGH,PA, ,15206.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,MELLON PLAN 239 LOT 40X110 AMBER ST NR BAUM BLV,D                                              ,2 1/2 STY BRK HSE 348                          ,51C33,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,400,VACANT COMMERCIAL LAND,4400,,,,,,12-29-1992,70000.0,0,VALID SALE,8878,180.0,,,,,3036   HARTSWOOD DR   ,  ,ALLISON PARK    PA  ,15101.0,0,77000,77000,0,0,77000,77000,0,77000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084E00038000000,5735, ,BAUM BLVD,PITTSBURGH,PA, ,15206.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,MELLON BAUM GROVE PLAN,LOT 240 = 40X109.70X34.01X6X110,,51C33,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,492,CONVENIENCE STORE/GAS,4394,,,,,,09-04-1987,160000.0,9,OTHER INVALID,7635,382.0,,,,,5735   BAUM BLVD   ,  ,PITTSBURGH PA  ,15206.0,0,142900,142900,0,0,142900,142900,0,142900,142900,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0084E00039000000,5735, ,BAUM BLVD,PITTSBURGH,PA, ,15206.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,MELLON PLAN PT 241 = 108.21X23.8X110.18X39.87X109.81,PT VACATED AMBER ST = 60.24X45.84X14.01X12.45X17.38,,51C33,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,492,CONVENIENCE STORE/GAS,8630,,,,,,09-04-1987,160000.0,9,OTHER INVALID,7635,382.0,,,,,5735   BAUM BLVD   ,  ,PITTSBURGH PA  ,15206.0,230600,165500,396100,0,230600,165500,396100,230600,165500,396100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0051A00168000000,4711, ,LIBERTY AVE,PITTSBURGH,PA, ,15224.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,JOHN KINGAN PLAN 6 LOT 20X120 LIBERTY AV       ,2 STY BRK & FRA BLDG-GAR #4711                 ,,51C34,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,2400,,,,,07-08-2013,07-08-2013,1.0,H,MULTI-PARCEL SA,15294,198.0,10-14-1997,1.0,,,325   GROSS ST   ,  ,PITTSBURGH      PA  ,15224.0,65700,92500,158200,0,65700,92500,158200,65700,92500,158200,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0050R00310000000,5152, ,PENN AVE,PITTSBURGH,PA, ,15224.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,LOT 60.17X100.2 PENN AV BET EVALINE & PACIFIC  ,1 STY BRK & C B STO RM 5152                    ,,51C32,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,420,SMALL DETACHED RET(UNDER 10000),6029,,,,,11-17-2020,11-13-2020,1.0,H,MULTI-PARCEL SA,18228,416.0,02-05-2002,110000.0,09-14-1989,82500.0,529   LOCKHART ST   ,  ,PITTSBURGH PA  ,15212.0,93750,31250,125000,0,93750,31250,125000,93750,31250,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0051A00131000000,4779, ,LIBERTY AVE,PITTSBURGH,PA, ,15224.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,LOT 84.2X120X17.4 RR LIBERTY AVE,,,51C34,PITTSBURGH URBAN,T,20 - Taxable,,,11,REGULAR-ETAL,C,COMMERCIAL,499,COMM AUX BUILDING,6096,,,,,06-01-2015,05-15-2015,1.0,3,LOVE&AFFECTION,15994,588.0,03-30-1994,0.0,,,2424   RIDGE RD   ,  ,ROCKWALL TX  ,75087.0,2000,142800,144800,0,2000,142800,144800,2000,142800,144800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0051A00134000000,4779, ,LIBERTY AVE,PITTSBURGH,PA, ,15224.0,108,8th Ward - PITTSBURGH,47,Pittsburgh,LOT 50X120 LIBERTY AVE                         ,1 STY CB & MASONRY BLDG #4779                  ,CANOPY (48'X22')                               ,51C34,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,492,CONVENIENCE STORE/GAS,6000,,,,,04-12-2018,01-16-2018,10.0,3,LOVE&AFFECTION,17172,30.0,05-05-2016,10.0,10-21-1985,115115.0,2424   RIDGE RD   ,  ,ROCKWALL TX  ,75087.0,455000,324900,779900,0,455000,324900,779900,455000,324900,779900,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0049L00284000000,4101, ,PENN AVE,PITTSBURGH,PA, ,15224.0,109,9th Ward - PITTSBURGH,47,Pittsburgh,LOT 23.35X93X73.23 RR PENN COR MAIN            ,2 STY BRK HSE & DUP 377                        ,4 STY BRK-APT STORE & OFFICES 4101             ,51C31A,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,5022,,,,,08-25-2010,08-25-2010,1.0,3,LOVE&AFFECTION,14360,551.0,07-14-1969,0.0,,,1871   HIGHPOINTE LN  APT 1306,  ,ALLISON PARK PA  ,15101.0,219800,80200,300000,0,219800,80200,300000,219800,80200,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
